Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Northamptonshire,Police Force Area,102, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Northumbria,Police Force Area,121, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Nottinghamshire,Police Force Area,711, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,South Wales,Police Force Area,131, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,South Yorkshire,Police Force Area,"1,083", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Staffordshire,Police Force Area,56, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Suffolk,Police Force Area,277, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Surrey,Police Force Area,320, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Sussex,Police Force Area,"1,670", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Thames Valley,Police Force Area,"3,303", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Warwickshire,Police Force Area,140, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,West Mercia,Police Force Area,332, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,West Midlands,Police Force Area,"1,548", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,West Yorkshire,Police Force Area,713, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Unreported,ONS 2001 5+1,Wiltshire,Police Force Area,111, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,All - including BTP,Police Force Area,"54,595", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,All - excluding BTP,Police Force Area,"52,601", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Avon & Somerset,Police Force Area,"4,364", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Bedfordshire,Police Force Area,667, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,British Transport Police,Police Force Area,"1,994", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Cambridgeshire,Police Force Area,429, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Cheshire,Police Force Area,66, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Cleveland,Police Force Area,416, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Cumbria,Police Force Area,325, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Derbyshire,Police Force Area,172, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Devon & Cornwall,Police Force Area,900, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Dorset,Police Force Area,72, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Durham,Police Force Area,55, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Dyfed-Powys,Police Force Area,371, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Essex,Police Force Area,213, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Gloucestershire,Police Force Area,35, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Greater Manchester,Police Force Area,"1,623", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Gwent,Police Force Area,70, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Hampshire,Police Force Area,"1,103", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Hertfordshire,Police Force Area,319, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Humberside,Police Force Area,177, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Kent,Police Force Area,255, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Lancashire,Police Force Area,438, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Leicestershire,Police Force Area,760, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Lincolnshire,Police Force Area,53, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,"London, City of",Police Force Area,531, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Merseyside,Police Force Area,514, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Metropolitan Police,Police Force Area,"28,007", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Norfolk,Police Force Area,293, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,North Wales,Police Force Area,93, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,North Yorkshire,Police Force Area,492, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Northamptonshire,Police Force Area,167, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Northumbria,Police Force Area,112, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Nottinghamshire,Police Force Area,505, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,South Wales,Police Force Area,217, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,South Yorkshire,Police Force Area,907, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Staffordshire,Police Force Area,83, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Suffolk,Police Force Area,169, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Surrey,Police Force Area,350, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Sussex,Police Force Area,"1,073", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Thames Valley,Police Force Area,"3,562", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Warwickshire,Police Force Area,83, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,West Mercia,Police Force Area,329, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,West Midlands,Police Force Area,"1,409", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,West Yorkshire,Police Force Area,695, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unreported,ONS 2001 5+1,Wiltshire,Police Force Area,127, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,All - including BTP,Police Force Area,"51,324", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,All - excluding BTP,Police Force Area,"49,929", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Avon & Somerset,Police Force Area,"3,418", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Bedfordshire,Police Force Area,735, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,British Transport Police,Police Force Area,"1,395", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Cambridgeshire,Police Force Area,520, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Cheshire,Police Force Area,127, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Cleveland,Police Force Area,197, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Cumbria,Police Force Area,417, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Derbyshire,Police Force Area,267, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Devon & Cornwall,Police Force Area,921, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Dorset,Police Force Area,61, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Durham,Police Force Area,32, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Dyfed-Powys,Police Force Area,349, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Essex,Police Force Area,120, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Gloucestershire,Police Force Area,31, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Greater Manchester,Police Force Area,"1,907", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Gwent,Police Force Area,115, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Hampshire,Police Force Area,"1,455", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Hertfordshire,Police Force Area,528, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Humberside,Police Force Area,184, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Kent,Police Force Area,104, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Lancashire,Police Force Area,410, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Leicestershire,Police Force Area,561, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Lincolnshire,Police Force Area,134, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,"London, City of",Police Force Area,560, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Merseyside,Police Force Area,328, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Metropolitan Police,Police Force Area,"26,978", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Norfolk,Police Force Area,279, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,North Wales,Police Force Area,43, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,North Yorkshire,Police Force Area,540, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Northamptonshire,Police Force Area,168, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Northumbria,Police Force Area,84, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Nottinghamshire,Police Force Area,309, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,South Wales,Police Force Area,328, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,South Yorkshire,Police Force Area,668, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Staffordshire,Police Force Area,68, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Suffolk,Police Force Area,126, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Surrey,Police Force Area,596, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Sussex,Police Force Area,206, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Thames Valley,Police Force Area,"2,066", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Warwickshire,Police Force Area,69, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,West Mercia,Police Force Area,326, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,West Midlands,Police Force Area,"2,277", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,West Yorkshire,Police Force Area,"1,184", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreported,ONS 2001 5+1,Wiltshire,Police Force Area,133, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,All - including BTP,Police Force Area,"46,648", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,All - excluding BTP,Police Force Area,"45,143", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Avon & Somerset,Police Force Area,"3,084", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Bedfordshire,Police Force Area,"1,017", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,British Transport Police,Police Force Area,"1,505", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Cambridgeshire,Police Force Area,709, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Cheshire,Police Force Area,82, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Cleveland,Police Force Area,280, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Cumbria,Police Force Area,612, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Derbyshire,Police Force Area,311, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Devon & Cornwall,Police Force Area,776, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Dorset,Police Force Area,33, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Durham,Police Force Area,32, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Dyfed-Powys,Police Force Area,455, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Essex,Police Force Area,168, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Gloucestershire,Police Force Area,40, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Greater Manchester,Police Force Area,809, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Gwent,Police Force Area,192, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Hampshire,Police Force Area,"1,702", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Hertfordshire,Police Force Area,966, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Humberside,Police Force Area,190, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Kent,Police Force Area,56, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Lancashire,Police Force Area,456, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Leicestershire,Police Force Area,311, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Lincolnshire,Police Force Area,123, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,"London, City of",Police Force Area,488, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Merseyside,Police Force Area,417, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Metropolitan Police,Police Force Area,"20,832", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Norfolk,Police Force Area,231, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,North Wales,Police Force Area,54, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,North Yorkshire,Police Force Area,356, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Northamptonshire,Police Force Area,178, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Northumbria,Police Force Area,82, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Nottinghamshire,Police Force Area,228, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,South Wales,Police Force Area,"1,860", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,South Yorkshire,Police Force Area,"1,290", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Staffordshire,Police Force Area,190, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Suffolk,Police Force Area,148, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Surrey,Police Force Area,578, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Sussex,Police Force Area,126, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Thames Valley,Police Force Area,"1,721", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Warwickshire,Police Force Area,103, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,West Mercia,Police Force Area,217, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,West Midlands,Police Force Area,"2,086", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,West Yorkshire,Police Force Area,"1,295", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 5+1,Wiltshire,Police Force Area,259, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,All - including BTP,Police Force Area,"44,698", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,All - excluding BTP,Police Force Area,"42,409", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Avon & Somerset,Police Force Area,944, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Bedfordshire,Police Force Area,938, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,British Transport Police,Police Force Area,"2,289", N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Cambridgeshire,Police Force Area,656, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Cheshire,Police Force Area,127, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Cleveland,Police Force Area,88, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Cumbria,Police Force Area,846, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Derbyshire,Police Force Area,121, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Devon & Cornwall,Police Force Area,612, N/A , N/A , N/A , N/A ,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Unreported,ONS 2001 5+1,Dorset,Police Force Area,174, N/A , N/A , N/A , N/A ,
